Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Precision,Recall,F1 Score
1,0.2747208566795434,0.9044858870967742,0.13528524402035288,0.9550246440306681,0.9519773716549983,0.9429728552145459,0.9453528511817783
2,0.12461022745006747,0.9609375,0.097205798,0.9700848849945235,0.9622311987128837,0.9699439572616486,0.9647006550608619
3,0.080047359,0.9765625,0.097086452,0.9715909090909091,0.976514735,0.9568305771549082,0.9654491580562905
4,0.050208294722852445,0.9851310483870968,0.10963210559321052,0.9693318729463307,0.9439390906547452,0.9859298499358737,0.9633372972627168
5,0.025595831431283224,0.993195565,0.11518701687749722,0.9764854874041621,0.9699665015067488,0.9755492177551929,0.9717413373981622
6,0.009219917,0.9977318548387096,0.12400698753603992,0.9742264512595837,0.9570693083384715,0.9826364565822394,0.9687345361983051
7,0.012957663566339761,0.9972278225806451,0.1466944461498348,0.9715909090909091,0.9489379356163827,0.9860732808021961,0.9659608227684872
8,0.006984596,0.9984879032258065,0.13178279288414674,0.9749794633077765,0.9578686595896301,0.9843934846946891,0.9700036446574639
9,0.006592001,0.9984879032258065,0.1507969298966282,0.9708378970427163,0.9464482094200655,0.9867600939890094,0.9651255337973424
10,0.006980507,0.9977318548387096,0.11735919028179052,0.9798740416210295,0.9686408457073157,0.9843934846946891,0.9757591028845629
11,0.001911773,0.9992439516129032,0.1078912911215006,0.9798740416210295,0.9713602594081162,0.9809925181913131,0.9753755908716301
12,0.001423253,0.9997479838709677,0.1424850912579526,0.9746029572836802,0.9554772257222924,0.9860070819408167,0.9695744808019079
13,0.000400007,1,0.13308356350416833,0.9772384994523549,0.9608114261309083,0.9860070819408167,0.9724318932671152
14,0.001777984,0.9997479838709677,0.11010191174566251,0.9828860898138007,0.9816664505789424,0.97788183,0.9790909843052816
15,0.000332597,1,0.1250480275346227,0.9798740416210295,0.9724942485223544,0.9805297842789913,0.9757282444689143
16,0.00074579,0.9997479838709677,0.12939572504494362,0.980250548,0.9714306640408881,0.9821679157522529,0.9760035428611656
17,0.002771841,0.9992439516129032,0.13965501524628973,0.9761089813800657,0.959793067,0.9843934846946891,0.9710650286245895
18,0.000195825,1,0.13890791141444883,0.9776150054764512,0.9631799913006782,0.9843934846946891,0.9728237248945145
19,0.001896574,0.9997479838709677,0.13912809116720973,0.9772384994523549,0.9631799913006782,0.9836404726464963,0.9724350735148022
20,0.000426057,0.9997479838709677,0.14065558919940827,0.9779915115005476,0.9648901285529841,0.9836404726464963,0.9733614844726431
21,0.000159404,1,0.1399219585869269,0.9787445235487404,0.9664965542557954,0.9836404726464963,0.9741942469607225
22,0.000151224,1,0.14082785270638631,0.978368018,0.9654925381915382,0.9836404726464963,0.9736704124924146
23,0.000154157,1,0.13272774597100076,0.9791210295728368,0.9689922513298057,0.9818332437308338,0.9745767292709158
24,0.000817718,0.9997479838709677,0.130494352,0.9794975355969332,0.9701817357898336,0.9811638996879958,0.9749009170951035
25,0.000179557,1,0.1446895429710065,0.9776150054764512,0.9638629428872442,0.9836404726464963,0.9728007268533064
26,0.000138555,1,0.14458764230282642,0.9776150054764512,0.9638629428872442,0.9836404726464963,0.9728007268533064
27,0.000142954,1,0.14379406189149757,0.978368018,0.9657937430108154,0.9836404726464963,0.9738064890324577
28,0.001380176,0.9997479838709677,0.15188611473869573,0.9768619934282585,0.9606467815385528,0.9851464967428819,0.9719245166986783
29,0.000135535,1,0.16409566395414443,0.9742264512595837,0.955602776,0.9851464967428819,0.9692252025099669
30,0.001565966,0.9997479838709677,0.14770077576837817,0.978368018,0.9648669589515012,0.9843934846946891,0.9737132127013268
31,0.000123487,1,0.14850081738299503,0.978368018,0.9648669589515012,0.9843934846946891,0.9737132127013268
32,0.000122647,1,0.1495001214232572,0.978368018,0.9648669589515012,0.9843934846946891,0.9737132127013268
33,0.000119295,1,0.14948085170053893,0.978368018,0.9648669589515012,0.9843934846946891,0.9737132127013268
34,0.000127255,1,0.15215360891552226,0.9772384994523549,0.9622603787846802,0.9843934846946891,0.9723205452573573
35,0.000211474,1,0.14899473391384405,0.978368018,0.9648669589515012,0.9843934846946891,0.9737132127013268
36,0.000112632,1,0.14886261012541208,0.9779915115005476,0.9648669589515012,0.9836404726464963,0.9733245613216145
37,0.001887221,0.9997479838709677,0.14870372005259333,0.9779915115005476,0.9648669589515012,0.9836404726464963,0.9733245613216145
38,0.000133095,1,0.14566136977447902,0.9787445235487404,0.9664965542557954,0.9836404726464963,0.9741942469607225
39,0.000107632,1,0.1459378383087495,0.9787445235487404,0.9664965542557954,0.9836404726464963,0.9741942469607225
40,0.000108003,1,0.14636158375975925,0.9787445235487404,0.9664965542557954,0.9836404726464963,0.9741942469607225
