Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Precision,Recall,F1 Score
41,0.274720857,0.904485887,0.135285244,0.955024644,0.951977372,0.942972855,0.945352851
42,0.124610227,0.9609375,0.097205798,0.970084885,0.962231199,0.969943957,0.964700655
43,0.080047359,0.9765625,0.097086452,0.971590909,0.976514735,0.956830577,0.965449158
44,0.050208295,0.985131048,0.109632106,0.969331873,0.943939091,0.98592985,0.963337297
45,0.025595831,0.993195565,0.115187017,0.976485487,0.969966502,0.975549218,0.971741337
46,0.009219917,0.997731855,0.124006988,0.974226451,0.957069308,0.982636457,0.968734536
47,0.012957664,0.997227823,0.146694446,0.971590909,0.948937936,0.986073281,0.965960823
48,0.006984596,0.998487903,0.131782793,0.974979463,0.95786866,0.984393485,0.970003645
49,0.006592001,0.998487903,0.15079693,0.970837897,0.946448209,0.986760094,0.965125534
50,0.006980507,0.997731855,0.11735919,0.979874042,0.968640846,0.984393485,0.975759103
51,0.001911773,0.999243952,0.107891291,0.979874042,0.971360259,0.980992518,0.975375591
52,0.001423253,0.999747984,0.142485091,0.974602957,0.955477226,0.986007082,0.969574481
53,0.000400007,1,0.133083564,0.977238499,0.960811426,0.986007082,0.972431893
54,0.001777984,0.999747984,0.110101912,0.98288609,0.981666451,0.97788183,0.979090984
55,0.000332597,1,0.125048028,0.979874042,0.972494249,0.980529784,0.975728244
56,0.00074579,0.999747984,0.129395725,0.980250548,0.971430664,0.982167916,0.976003543
57,0.002771841,0.999243952,0.139655015,0.976108981,0.959793067,0.984393485,0.971065029
58,0.000195825,1,0.138907911,0.977615005,0.963179991,0.984393485,0.972823725
59,0.001896574,0.999747984,0.139128091,0.977238499,0.963179991,0.983640473,0.972435074
60,0.000426057,0.999747984,0.140655589,0.977991512,0.964890129,0.983640473,0.973361484
61,0.000159404,1,0.139921959,0.978744524,0.966496554,0.983640473,0.974194247
62,0.000151224,1+C7,0.140827853,0.978368018,0.965492538,0.983640473,0.973670412
63,0.000154157,1,0.132727746,0.97912103,0.968992251,0.981833244,0.974576729
64,0.000817718,0.999747984,0.130494352,0.979497536,0.970181736,0.9811639,0.974900917
65,0.000179557,1,0.144689543,0.977615005,0.963862943,0.983640473,0.972800727
66,0.000138555,1,0.144587642,0.977615005,0.963862943,0.983640473,0.972800727
67,0.000142954,1,0.143794062,0.978368018,0.965793743,0.983640473,0.973806489
68,0.001380176,0.999747984,0.151886115,0.976861993,0.960646782,0.985146497,0.971924517
69,0.000135535,1,0.164095664,0.974226451,0.955602776,0.985146497,0.969225203
70,0.001565966,0.999747984,0.147700776,0.978368018,0.964866959,0.984393485,0.973713213
71,0.000123487,1,0.148500817,0.978368018,0.964866959,0.984393485,0.973713213
72,0.000122647,1,0.149500121,0.978368018,0.964866959,0.984393485,0.973713213
73,0.000119295,1,0.149480852,0.978368018,0.964866959,0.984393485,0.973713213
74,0.000127255,1,0.152153609,0.977238499,0.962260379,0.984393485,0.972320545
75,0.000211474,1,0.148994734,0.978368018,0.964866959,0.984393485,0.973713213
76,0.000112632,1,0.14886261,0.977991512,0.964866959,0.983640473,0.973324561
77,0.001887221,0.999747984,0.14870372,0.977991512,0.964866959,0.983640473,0.973324561
78,0.000133095,1,0.14566137,0.978744524,0.966496554,0.983640473,0.974194247
79,0.000107632,1,0.145937838,0.978744524,0.966496554,0.983640473,0.974194247
80,0.000108003,1,0.146361584,0.978744524,0.966496554,0.983640473,0.974194247
